codigo,descripcion,unidades_por_bulto
000752,BEBIDA EN POLVO DE DURAZNO KONGA 30 GR,112
000896,BEBIDA EN POLVO DE DURAZNO NESTEA 240 GR,12
000875,BEBIDA EN POLVO DE DURAZNO NESTEA 450 GR,8
000867,BEBIDA EN POLVO DE DURAZNO NESTEA 90 GR,72
003784,BEBIDA EN POLVO DE FRUIT PUNCH TANDY 25 GR,120
004657,BEBIDA EN POLVO DE JAMAICA SIN CALORIAS CLIGHT 9 GR,180
000895,BEBIDA EN POLVO DE LIMON NESTEA 240 GR,12
000874,BEBIDA EN POLVO DE LIMON NESTEA 450 GR,8
000868,BEBIDA EN POLVO DE LIMON NESTEA 90 GR,72
003783,BEBIDA EN POLVO DE LIMON TANDY 25 GR,120
002290,BEBIDA EN POLVO  DE LIMON TANG 20 GR,120
002291,BEBIDA EN POLVO DE MANDARINA TANG 20 GR,120
000748,BEBIDA EN POLVO DE NARANJA KONGA 30 GR,112
003780,BEBIDA EN POLVO DE NARANJA TANDY 25 GR,120
002292,BEBIDA EN POLVO DE NARANJA TANG 20 GR,120
000750,BEBIDA EN POLVO DE PARCHITA KONGA 30 GR,112
000876,BEBIDA EN POLVO DE PARCHITA NESTEA 450 GR,8
000873,BEBIDA EN POLVO DE PARCHITA NESTEA 90 GR,72
003781,BEBIDA EN POLVO DE PARCHITA TANDY 25 GR,120
002294,BEBIDA EN POLVO DE PARCHITA TANG 20 GR,120
002289,BEBIDA EN POLVO DE PIÑA COLADA TANG 20 GR,120
000751,BEBIDA EN POLVO DE TIZANA KONGA 30 GR,112
004388,BEBIDA EN POLVO DE TORONJA SIN CALORIAS CLIGHT 9 GR,180
003782,BEBIDA EN POLVO DE UVA TANDY 25 GR,120
003779,BEBIDA EN POLVO FRESA FRUTILLA TANDY 25 GR,120
004011,BEBIDA EN POLVO GUANABANA BOKA 10 GR,1
004991,BEBIDA EN POLVO LIMA LIMON BOKA 10 GR,240
000747,BEBIDA EN POLVO LIMON KONGA 30 GR,112
004015,BEBIDA EN POLVO MANDARINA BOKA 10 GR,1
000749,BEBIDA EN POLVO MORA KONGA 30 GR,1
004012,BEBIDA EN POLVO NARANJA BOKA 10 GR,1
004013,BEBIDA EN POLVO PANELA Y LIMON BOKA 10 GR,1
000753,BEBIDA EN POLVO PAPELON-LIMON KONGA 30 GR,112
004014,BEBIDA EN POLVO PIÑA BOKA 10 GR,1
002437,BEBIDA FRUTAS TROPICALES GATORADE 1 LT,12
000998,BEBIDA FRUTAS TROPICALES GATORADE 500 ML,12
002438,BEBIDA FRUTAS TROPICALES IMP. GATORADE 500 ML,12
004686,BEBIDA FRUTAS TROPIC. POWERADE 500 ML,1
004049,BEBIDA ICED LEMON TEA ARIZONA 650 ML,24
